feature,total_ms,n_stocks,n_days,avg_ms_per_stock
foreign_buy_ratio_20,28035.342,31554,166,0.8885
foreign_buy_ratio_5,28035.342,31554,166,0.8885
amt_ratio_20,24120.91,31554,166,0.7644
amt,24120.91,31554,166,0.7644
atr_inv,24120.91,31554,166,0.7644
trust_net_5,23948.127,31554,166,0.759
foreign_buy_streak_5,23948.127,31554,166,0.759
trust_net_20,23948.127,31554,166,0.759
foreign_net_20,23948.127,31554,166,0.759
foreign_net_5,23948.127,31554,166,0.759
boll_pct,22839.447,31554,166,0.7238
rsi_14,22061.225,31554,166,0.6992
margin_short_ratio,20146.069,31554,166,0.6385
short_balance_chg_20,20146.069,31554,166,0.6385
short_balance_chg_5,20146.069,31554,166,0.6385
foreign_buy_streak,16380.739,31554,166,0.5191
volume_surge_ratio,13732.74,31554,166,0.4352
foreign_buy_intensity,13713.253,31554,166,0.4346
price_volume_divergence,12814.689,31554,166,0.4061
kd_k,12263.541,31554,166,0.3887
kd_d,12263.541,31554,166,0.3887
foreign_buy_consecutive_days,11745.561,31554,166,0.3722
cci_20,11114.142,31554,166,0.3522
drawdown_60,11026.965,31554,166,0.3495
cmf_20,10910.209,31554,166,0.3458
trust_net_5_inv,9736.303,31554,166,0.3086
trend_persistence_inv,9736.303,31554,166,0.3086
vol_20_inv,9736.303,31554,166,0.3086
willr_14,8276.296,31554,166,0.2623
chip_flow_intensity_20,7642.462,31554,166,0.2422
ma_alignment,6925.608,31554,166,0.2195
vol_20,6772.612,31554,166,0.2146
macd_hist,6511.014,31554,166,0.2063
fund_revenue_yoy_accel,6279.603,31554,166,0.199
fund_revenue_yoy,6279.603,31554,166,0.199
fund_revenue_mom,6279.603,31554,166,0.199
ret_5,5873.176,31554,166,0.1861
ret_10,5360.469,31554,166,0.1699
ret_20,5230.715,31554,166,0.1658
ret_60,5183.828,31554,166,0.1643
trend_persistence,5006.385,31554,166,0.1587
ret_60_skew,4281.75,31554,166,0.1357
vol_ratio_20,3754.6,31554,166,0.119
ret_60_kurt,3635.065,31554,166,0.1152
bias_20,3631.46,31554,166,0.1151
ma_5,3096.602,31554,166,0.0981
theme_return_20,3091.328,31554,166,0.098
theme_turnover_ratio,3091.328,31554,166,0.098
ma_20,2921.136,31554,166,0.0926
ma_60,2873.377,31554,166,0.0911
market_trend_20,0.0,31554,166,0.0
market_trend_60,0.0,31554,166,0.0
market_above_200ma,0.0,31554,166,0.0
market_volatility_20,0.0,31554,166,0.0
sector_momentum,0.0,31554,166,0.0
amt_20,0.0,31554,166,0.0
