feature,horizon,ic_mean,ic_std,icir,win_rate,n_dates
ret_5,5d,-0.053643375348683534,0.10569868494038455,-0.5075122304401337,0.26048657718120805,2384
ret_5,10d,-0.029345523315351004,0.09877013502537399,-0.2971092760763378,0.36317780580075665,2379
ret_5,20d,-0.022473973734077817,0.09745761980292061,-0.23060253040783082,0.39805825242718446,2369
bias_5,5d,-0.05509750271765984,0.10467025031916971,-0.5263912386724184,0.25505716798592787,2274
bias_5,10d,-0.029867978090765877,0.09620867134020725,-0.31044995918453705,0.35048372911169745,2274
bias_5,20d,-0.0195469599049847,0.09411284705082541,-0.20769704155723195,0.4102902374670185,2274
ret_10,5d,-0.034404526006563206,0.10753718361895763,-0.3199314399795948,0.3326342281879195,2384
ret_10,10d,-0.021543361637891778,0.10403137957007838,-0.2070852249284994,0.4077343421605717,2379
ret_10,20d,-0.024905335916339102,0.10299791247555519,-0.24180427853088735,0.39974672857745885,2369
ret_20,5d,-0.03265895150207699,0.11460195641582244,-0.284977259756169,0.37583892617449666,2384
ret_20,10d,-0.03239576622873605,0.11066229551095638,-0.29274439030165095,0.37116435477091214,2379
ret_20,20d,-0.033291460486719986,0.11041821752432023,-0.30150333190614453,0.3782186576614605,2369
ret_60,5d,-0.019382813386211627,0.11146689017342426,-0.17388852740087338,0.44043624161073824,2384
ret_60,10d,-0.01747209198113545,0.1091221500823318,-0.16011499010927566,0.4527112232030265,2379
ret_60,20d,-0.014821463816964055,0.10607164825505898,-0.13973068261675817,0.4748839172646686,2369
rsi_14,5d,-0.036865534237779926,0.0910851454392626,-0.4047370628876319,0.3234060402684564,2384
rsi_14,10d,-0.026471796900352246,0.09003161066403617,-0.29402780540198215,0.3644388398486759,2379
rsi_14,20d,-0.02307355493516873,0.09025814481911686,-0.2556395877780296,0.3879273955255382,2369
vol_20,5d,-0.052167821743870905,0.16833495158138814,-0.30990487271829775,0.36828859060402686,2384
vol_20,10d,-0.055410300805506685,0.16387654760648235,-0.3381222122067384,0.36990332072299287,2379
vol_20,20d,-0.060373841077791764,0.1631860648072938,-0.3699693423521619,0.34740396791895317,2369
bias_20,5d,-0.04204220749757032,0.11497732571874121,-0.36565650866166804,0.32676174496644295,2384
bias_20,10d,-0.030153446631571684,0.11049948368016795,-0.27288314503666333,0.3724253888188314,2379
bias_20,20d,-0.030275006047464425,0.10860484967392327,-0.2787629294489383,0.3782186576614605,2369
bias_60,5d,-0.033507790499700006,0.11760983217261417,-0.28490637118265016,0.38258575197889183,2274
bias_60,10d,-0.030591157186531444,0.11585333948143227,-0.26405071552930304,0.415127528583993,2274
bias_60,20d,-0.02852684579449973,0.11687914016078214,-0.24407131807487134,0.420844327176781,2274
atr_14_pct,5d,-0.052871977418307,0.1735898812255859,-0.3045798352128491,0.3733509234828496,2274
atr_14_pct,10d,-0.05721443961437942,0.17099611682320093,-0.33459496436129893,0.3729111697449428,2274
atr_14_pct,20d,-0.06408023906567072,0.16973685979857484,-0.37752695049097845,0.34256816182937555,2274
vol_ratio_20,5d,-0.011218928231981758,0.05519356611140152,-0.2032651452406194,0.4249161073825503,2384
vol_ratio_20,10d,-0.002136696143059714,0.053875123241830226,-0.03966016251078792,0.4833963850357293,2379
vol_ratio_20,20d,0.00029607487759840065,0.051725863124881706,0.005723923385939203,0.494301392992824,2369
avg_volume_20,5d,-0.006737176304608403,0.1572918099003252,-0.04283234015094434,0.5061565523306948,2274
avg_volume_20,10d,-0.009215849049886584,0.14475786993276094,-0.06366388959831534,0.5083553210202286,2274
avg_volume_20,20d,-0.014824887369589758,0.13180181550020936,-0.1124786279561241,0.46437994722955145,2274
ma_cross_5_20,5d,-0.02244952533694244,0.11356177263591213,-0.1976855839413265,0.41116974494283204,2274
ma_cross_5_20,10d,-0.01973177981082034,0.11136324349096187,-0.17718395398946646,0.4252418645558487,2274
ma_cross_5_20,20d,-0.02682511300373243,0.1101170314944111,-0.24360548626934167,0.41116974494283204,2274
trust_net_ratio_5,5d,0.0005698336713294801,0.04145283901040791,0.013746553551770176,0.5153913808267371,2274
trust_net_ratio_5,10d,-0.0003391959433583631,0.03999717175835564,-0.008480498206413884,0.5008795074758136,2274
trust_net_ratio_5,20d,-0.004478023009403138,0.03901843455039205,-0.11476685471888426,0.45910290237467016,2274
dealer_net_ratio_5,5d,-0.006700873018974979,0.04951225106403419,-0.13533767653401055,0.4415127528583993,2274
dealer_net_ratio_5,10d,-0.004156071718139686,0.048905238816452826,-0.0849821372662736,0.4586631486367634,2274
dealer_net_ratio_5,20d,-0.00593096254945711,0.04780966667019791,-0.12405362686107509,0.4687774846086192,2274
trust_net_ratio_20,5d,-0.007164124707971371,0.041520169752194844,-0.1725456507217835,0.43491644678979774,2274
trust_net_ratio_20,10d,-0.00925408600369548,0.04050723707453204,-0.2284551273311545,0.39533861037818824,2274
trust_net_ratio_20,20d,-0.007754914027432385,0.03873390634010925,-0.2002099648648686,0.43799472295514513,2274
dealer_net_ratio_20,5d,-0.009269393608897704,0.05207058673563412,-0.17801592396027802,0.449868073878628,2274
dealer_net_ratio_20,10d,-0.011295141826658426,0.0500074168128097,-0.22586933192208214,0.4291996481970097,2274
dealer_net_ratio_20,20d,-0.011347520277136943,0.04894580326269616,-0.23183847277434322,0.4331574318381706,2274
foreign_net_ratio_5,5d,0.0050101853847241366,0.05049367224629373,0.09922402475078226,0.5470536499560247,2274
foreign_net_ratio_5,10d,0.0039500824390627225,0.04948613314135512,0.07982200645541396,0.5417766051011433,2274
foreign_net_ratio_5,20d,-0.003082055098058255,0.050008646691402536,-0.06163044397256445,0.46130167106420406,2274
foreign_net_ratio_20,5d,-0.0026386760408286312,0.049465078140012025,-0.05334422061074681,0.4793315743183817,2274
foreign_net_ratio_20,10d,-0.005291684926976751,0.05060061363792008,-0.10457748526217801,0.45602462620932277,2274
foreign_net_ratio_20,20d,-0.006849819184194254,0.05233356987789369,-0.13088767305911797,0.4604221635883905,2274
amt,5d,0.008298931671396942,0.14322367295897828,0.057943854531463515,0.5272727272727272,110
amt,10d,0.013735257751240765,0.12108310958254746,0.11343661224587943,0.5523809523809524,105
amt,20d,0.03236923875118648,0.07769058461082869,0.4166430065281654,0.6736842105263158,95
kd_d,5d,-0.030091014441485875,0.07216033820742992,-0.4170021259460724,0.36363636363636365,110
kd_d,10d,-0.023767785247118825,0.06242893978145425,-0.38071742576957096,0.3904761904761905,105
kd_d,20d,-0.01128813734072928,0.06559440297894015,-0.17208994713090794,0.4631578947368421,95
kd_k,5d,-0.04518457587692087,0.07469734803810865,-0.6049020087549677,0.23636363636363636,110
kd_k,10d,-0.03643747184558208,0.06484310286570183,-0.561932884690121,0.2857142857142857,105
kd_k,20d,-0.01961057828447155,0.06690888888586775,-0.29309376692718664,0.4421052631578947,95
ma_5,5d,-0.009486905898843063,0.11161784847130499,-0.08499452398316011,0.4909090909090909,110
ma_5,10d,-0.02330023374154665,0.0995001647642488,-0.23417281566068932,0.37142857142857144,105
ma_5,20d,-0.04465565150042425,0.06101949326201641,-0.731825997123146,0.23157894736842105,95
ma_20,5d,-0.007322988048050047,0.11243866189102603,-0.06512873708108857,0.4909090909090909,110
ma_20,10d,-0.02143512662112027,0.09984799951475613,-0.2146775771702112,0.38095238095238093,105
ma_20,20d,-0.043501476657387704,0.060891150149799254,-0.7144137785272416,0.23157894736842105,95
ma_60,5d,-0.006371532401047417,0.11152242104148395,-0.0571322998688967,0.509090909090909,110
ma_60,10d,-0.02021858478567563,0.09959015226874089,-0.2030179121638093,0.3904761904761905,105
ma_60,20d,-0.04280103100552089,0.06033430527681761,-0.7093979255938567,0.22105263157894736,95
amt_20,5d,0.014702494262218048,0.1509845392885474,0.09737748203556146,0.5272727272727272,110
amt_20,10d,0.017832006386752728,0.12247864757398833,0.14559277669995957,0.5428571428571428,105
amt_20,20d,0.03133341974741394,0.08191194357677907,0.38252565351527734,0.6210526315789474,95
macd_hist,5d,-0.03994541950178102,0.07911867637995185,-0.5048797746558729,0.3090909090909091,110
macd_hist,10d,-0.03126475016172056,0.0752086500729476,-0.41570683866012414,0.34285714285714286,105
macd_hist,20d,-0.0071539358787287574,0.06921102834182943,-0.10336410323793868,0.43157894736842106,95
