f1,f2,corr,f1_shap,f2_shap,abs_corr
trend_persistence_inv,trend_persistence,-1.0,0.0,0.0,1.0
trust_net_5_inv,trust_net_5,-1.0,0.0,0.0,1.0
vol_20,vol_20_inv,-1.0,0.0,0.0,1.0
ma_5,ma_20,0.9977095731697914,2.9359290521657354e-05,3.798272739695246e-06,0.9977095731697914
vol_ratio_20,amt_ratio_20,0.9947603608019495,0.0,0.0,0.9947603608019495
ma_20,ma_60,0.9856939468764203,3.798272739695246e-06,0.0,0.9856939468764203
fund_revenue_yoy,fund_revenue_yoy_accel,0.9840424227738664,0.0,0.0,0.9840424227738664
ma_5,ma_60,0.9792583988144565,2.9359290521657354e-05,0.0,0.9792583988144565
boll_pct,cci_20,0.9536966815790593,0.0,1.4617511850290422e-06,0.9536966815790593
kd_k,kd_d,0.926913381947499,0.0,0.0,0.926913381947499
foreign_buy_ratio_5,foreign_buy_intensity,0.9192586968770818,0.0,0.0,0.9192586968770818
amt_20,amt,0.9091161815936859,0.0,0.0,0.9091161815936859
ret_10,bias_20,0.9078936098198336,0.0,0.00011040565225676892,0.9078936098198336
kd_k,willr_14,0.9073828553098402,0.0,0.0,0.9073828553098402
chip_flow_intensity_20,foreign_buy_ratio_20,0.88840195537933,0.0,0.0,0.88840195537933
boll_pct,willr_14,0.8812755642394257,0.0,0.0,0.8812755642394257
rsi_14,boll_pct,0.8538950315883107,0.0,0.0,0.8538950315883107
