feature,bull_mean_abs_shap,bear_mean_abs_shap,bull_vs_bear
market_volatility_20,0.0006667194349375533,0.0014500930429321398,0.4597770040944565
market_trend_60,0.0005633610714908227,0.0007321488375760794,0.7694624952980034
market_trend_20,0.000168682778736796,0.0004019465307194721,0.41966472116293413
bias_20,8.674421882432237e-05,0.00017610008526104185,0.49258476335055223
theme_turnover_ratio,0.00011821510539816542,7.781479173090695e-05,1.5191855271805865
drawdown_60,2.966613737440972e-05,6.757032409468027e-05,0.4390409217638383
ma_5,2.9135490224435052e-05,2.9980657510017204e-05,0.9718095813842721
ma_20,2.5228233990048955e-06,7.339474987715145e-06,0.3437334963641966
volume_surge_ratio,1.7601341770729171e-06,3.26707801777046e-06,0.5387487435252859
ret_60_skew,2.27420540443071e-06,2.8428406856758355e-06,0.7999763813321314
cci_20,9.981123822823979e-07,2.7490142053435875e-06,0.36308011080562896
chip_flow_intensity_20,0.0,0.0,
foreign_buy_ratio_5,0.0,0.0,
fund_revenue_yoy,0.0,0.0,
foreign_buy_ratio_20,0.0,0.0,
ma_alignment,0.0,0.0,
trend_persistence,0.0,0.0,
foreign_buy_consecutive_days,0.0,0.0,
foreign_buy_streak_5,0.0,0.0,
fund_revenue_mom,0.0,0.0,
amt_20,0.0,0.0,
fund_revenue_yoy_accel,0.0,0.0,
theme_return_20,0.0,0.0,
willr_14,0.0,0.0,
cmf_20,0.0,0.0,
market_above_200ma,0.0,0.0,
sector_momentum,0.0,0.0,
foreign_buy_streak,0.0,0.0,
foreign_buy_intensity,0.0,0.0,
rs_rank_20,0.0,0.0,
ret_60_kurt,0.0,0.0,
boll_pct,0.0,0.0,
price_volume_divergence,0.0,0.0,
vol_20,0.0,0.0,
vol_ratio_20,0.0,0.0,
vol_20_inv,0.0,0.0,
atr_inv,0.0,0.0,
trend_persistence_inv,0.0,0.0,
trust_net_5_inv,0.0,0.0,
foreign_net_5,0.0,0.0,
foreign_net_20,0.0,0.0,
trust_net_5,0.0,0.0,
trust_net_20,0.0,0.0,
ret_5,0.0,0.0,
ret_10,0.0,0.0,
ret_20,0.0,0.0,
ret_60,0.0,0.0,
ma_60,0.0,0.0,
rsi_14,0.0,0.0,
macd_hist,0.0,0.0,
kd_k,0.0,0.0,
kd_d,0.0,0.0,
short_balance_chg_5,0.0,0.0,
short_balance_chg_20,0.0,0.0,
margin_short_ratio,0.0,0.0,
amt,0.0,0.0,
amt_ratio_20,0.0,0.0,
rs_rank_60,0.0,0.0,
