stock_id,name,entry_date,exit_date,entry_price,exit_price,realized_pnl_pct,stoploss_triggered,exit_reason,score
3085,新零售,2016-03-23,2016-04-01,6.64,6.5,-0.02692683734939752,False,Normal Rebalance Exit,0.17524178219970926
3252,海灣,2016-03-23,2016-04-01,17.8,27.6,0.544719297752809,False,Normal Rebalance Exit,0.1938759800368132
3526,凡甲,2016-03-23,2016-04-01,34.5,32.3,-0.06961061594202902,False,Normal Rebalance Exit,0.15151953400331247
4916,事欣科,2016-03-23,2016-04-01,31.6,40.1,0.2631448417721518,False,Normal Rebalance Exit,0.21657391777676402
5403,中菲,2016-03-23,2016-04-01,27.4,27.75,0.00693122262773735,False,Normal Rebalance Exit,0.20028967015877455
5534,長虹,2016-03-23,2016-04-01,44.5,49.1,0.09752828651685405,False,Normal Rebalance Exit,0.15573945056155108
6510,精測,2016-03-23,2016-04-01,570.1,680.0,0.18693069768461676,False,Normal Rebalance Exit,0.19670608677141832
8049,晶采,2016-03-23,2016-03-28,14.9,13.4,-0.10651364093959728,True,Stop Loss / Trailing Stop,0.15305521540201697
8455,大拓-KY,2016-03-23,2016-04-01,36.35,50.8,0.3916815715268225,False,Normal Rebalance Exit,0.40013357480027145
9906,欣巴巴,2016-03-23,2016-04-01,14.15,15.95,0.12136598056537104,False,Normal Rebalance Exit,0.2971554401409769
1528,恩德,2016-04-01,2016-04-07,10.4,9.58,-0.0846886538461539,True,Stop Loss / Trailing Stop,0.10369414342812423
1909,榮成,2016-04-01,2016-05-03,12.9,13.5,0.040669127906976604,False,Normal Rebalance Exit,0.0883367580023919
2444,兆勁,2016-04-01,2016-05-03,14.4,15.45,0.06707416666666652,False,Normal Rebalance Exit,0.11776877483517559
2636,台驊控股,2016-04-01,2016-04-28,27.55,25.0,-0.09840148366606175,True,Stop Loss / Trailing Stop,0.12485624142664507
2702,華園,2016-04-01,2016-05-03,15.8,16.2,0.019473955696202444,False,Normal Rebalance Exit,0.12969891826888902
2740,天蔥,2016-04-01,2016-04-07,52.5,0.0,-0.5,True,Stop Loss / Trailing Stop,0.09144570075198155
3035,智原,2016-04-01,2016-05-03,43.0,43.85,0.013924941860465195,False,Normal Rebalance Exit,0.10913626224881758
3138,耀登,2016-04-01,2016-04-27,17.79,0.0,-0.5,True,Stop Loss / Trailing Stop,0.11502275285622543
3147,大綜,2016-04-01,2016-04-07,20.1,0.0,-0.5,True,Stop Loss / Trailing Stop,0.146781389794741
3530,晶相光,2016-04-01,2016-04-07,101.49,92.79,-0.09156523130357655,True,Stop Loss / Trailing Stop,0.1048790364229518
3630,新鉅科,2016-04-01,2016-04-12,15.25,14.05,-0.08453102459016384,True,Stop Loss / Trailing Stop,0.09197808216838921
4502,健信,2016-04-01,2016-05-03,34.0,44.15,0.29268691176470596,False,Normal Rebalance Exit,0.11102079731117312
